title,price,link,date,location
Wall and Piece,£44.18,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,In stock,
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,In stock,
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,In stock,
The Elephant Tree,£23.82,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,In stock,
The Bear and the Piano,£36.89,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,In stock,
Sophie's World,£15.94,https://books.toscrape.com/catalogue/sophies-world_966/index.html,In stock,
Penny Maybe,£33.29,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,In stock,
Maude (1883-1993):She Grew Up with the country,£18.02,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,In stock,
"In a Dark, Dark Wood",£19.63,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,In stock,
Behind Closed Doors,£52.22,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,In stock,
You can't bury them all: Poems,£33.63,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,In stock,
Slow States of Collapse: Poems,£57.31,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,In stock,
Reasons to Stay Alive,£26.41,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,In stock,
Private Paris (Private #10),£47.61,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,In stock,
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,In stock,
Without Borders (Wanderlove #1),£45.07,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,In stock,
When We Collided,£31.77,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,In stock,
"We Love You, Charlie Freeman",£50.27,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,In stock,
Untitled Collection: Sabbath Poems 2014,£14.27,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,In stock,
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,In stock,
Unicorn Tracks,£18.78,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,In stock,
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,In stock,
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,In stock,
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,In stock,
This One Summer,£19.49,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,In stock,
Thirst,£17.27,https://books.toscrape.com/catalogue/thirst_946/index.html,In stock,
The Torch Is Passed: A Harding Family Story,£19.09,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,In stock,
The Secret of Dreadwillow Carse,£56.13,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,In stock,
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,In stock,
The Past Never Ends,£56.50,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,In stock,
The Natural History of Us (The Fine Art of Pretending #2),£45.22,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,In stock,
